AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
A688494,Michelle,2014-09-26 15:03:00,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
A675033,,2014-03-23 17:53:00,Adoption,,Dog,Neutered Male,1 year,Miniature Schnauzer/Miniature Poodle,Silver
A716976,Elmo,2015-12-08 00:00:00,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Brown Tabby
A688465,Rowdy,2014-11-05 12:52:00,Adoption,,Dog,Neutered Male,1 year,German Shepherd Mix,Brown/Black
A692416,,2014-11-20 09:51:00,Euthanasia,Suffering,Dog,Intact Female,2 years,Pit Bull Mix,Brown Brindle
A689889,Scamper,2014-12-08 13:05:00,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White
A714124,,2015-10-19 09:00:00,Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Orange Tabby
A699242,,2015-03-25 09:00:00,Transfer,SCRP,Cat,Unknown,7 months,Domestic Longhair Mix,Tortie
A676661,Callie,2014-04-14 12:02:00,Euthanasia,Rabies Risk,Dog,Spayed Female,3 years,Australian Shepherd Mix,Black/White
A676755,,2014-04-18 17:00:00,Adoption,,Dog,Neutered Male,2 months,Rat Terrier Mix,Tricolor/White
A607523,Chance,2015-11-23 18:36:00,Return_to_owner,,Dog,Neutered Male,8 years,American Bulldog Mix,White/Brown Brindle
A692586,Joy,2014-11-30 18:22:00,Adoption,,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Black/White
A655902,Boo Boo,2015-11-25 18:07:00,Return_to_owner,,Dog,Neutered Male,3 years,Pit Bull Mix,White
A693798,Jupiter,2015-02-07 19:08:00,Adoption,,Dog,Neutered Male,1 month,Labrador Retriever Mix,Brown/White
A714379,Eddie,2015-10-28 00:00:00,Transfer,Partner,Dog,Neutered Male,1 year,Siberian Husky Mix,Brown/Black
A666677,Max,2013-11-09 08:53:00,Died,In Kennel,Cat,Intact Male,5 weeks,Domestic Shorthair Mix,Orange Tabby/White
A701913,Chanel,2015-05-24 11:22:00,Return_to_owner,,Dog,Spayed Female,10 months,American Staffordshire Terrier Mix,Fawn/White
A657358,Alfie,2015-12-19 17:58:00,Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Sable/White
A671487,Willow,2014-02-03 16:54:00,Adoption,,Dog,Spayed Female,4 years,Dachshund Mix,Red
A697188,Blue,2015-09-07 19:06:00,Adoption,,Dog,Neutered Male,6 years,Pit Bull Mix,Black/White
A698441,,2015-03-12 09:00:00,Transfer,SCRP,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Orange Tabby
A708538,,2015-07-30 09:00:00,Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Brown Tabby/White
A701460,Beda,2015-06-03 14:11:00,Return_to_owner,,Dog,Spayed Female,2 years,Pit Bull Mix,Brown Brindle/White
A648630,Cody,2016-01-18 15:50:00,Adoption,,Dog,Neutered Male,3 years,Catahoula Mix,White/Tan
A699307,,2015-03-25 14:51:00,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby
A664271,,2013-10-01 12:57:00,Transfer,Partner,Cat,Intact Female,1 week,Domestic Shorthair Mix,Orange Tabby
A695425,Lana,2015-01-24 12:09:00,Adoption,,Cat,Spayed Female,2 years,Siamese Mix,Flame Point
A711894,Hubble,2015-12-24 14:40:00,Return_to_owner,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black/White
A650999,Xena,2014-11-15 16:41:00,Return_to_owner,,Cat,Spayed Female,6 years,Siamese Mix,Tortie Point
A676201,Duke,2014-04-08 11:30:00,Return_to_owner,,Dog,Intact Male,10 months,Golden Retriever/Standard Poodle,Gold
A655398,Onyx,2014-02-12 15:57:00,Adoption,,Cat,Neutered Male,9 months,Domestic Shorthair Mix,Black
A665970,Poppy,2013-11-01 15:03:00,Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/Black
A718400,,2016-01-02 12:09:00,Transfer,Partner,Dog,Intact Female,2 months,Labrador Retriever Mix,Yellow
A687358,Rosie,2014-11-29 07:57:00,Adoption,Foster,Dog,Spayed Female,3 months,Chihuahua Shorthair/Beagle,Black/Tan
A683051,Bella,2014-08-02 11:59:00,Transfer,Partner,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Blue/White
A666401,Clint,2015-01-17 14:00:00,Adoption,,Dog,Neutered Male,9 years,Chihuahua Shorthair Mix,Tricolor
A668301,,2013-12-01 16:06:00,Return_to_owner,,Dog,Spayed Female,3 years,Flat Coat Retriever Mix,Black
A662277,Snickrdoodl,2013-11-04 18:32:00,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby
A704249,Jacque,2015-06-07 19:03:00,Adoption,,Dog,Neutered Male,3 years,Toy Poodle Mix,Black
A705133,Adestria,2015-06-24 17:20:00,Adoption,,Cat,Intact Female,1 month,Domestic Longhair Mix,White
A699755,,2015-04-06 17:49:00,Adoption,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,White/Chocolate
A715193,Beau,2015-11-01 18:00:00,Return_to_owner,,Dog,Neutered Male,1 year,Rhod Ridgeback Mix,Brown/White
A693518,Lyle,2015-03-27 11:51:00,Transfer,Partner,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Black/White
A701509,Charlie,2015-05-04 12:26:00,Transfer,Partner,Cat,Intact Male,1 year,Domestic Medium Hair Mix,Brown Tabby
A692941,Grizzly,2015-12-29 13:55:00,Return_to_owner,,Dog,Spayed Female,3 years,Great Pyrenees Mix,White
A706245,,2015-06-26 17:12:00,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Tortie
A706181,Lola,2015-07-06 18:22:00,Return_to_owner,,Dog,Spayed Female,1 year,Pit Bull Mix,Brown
A710424,Rue,2015-08-26 17:22:00,Adoption,,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,White
A700622,Pickles,2015-04-21 14:35:00,Adoption,,Dog,Neutered Male,5 months,Rottweiler/German Shepherd,Black/Tan
A705077,,2015-06-17 12:35:00,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Tortie
A688308,Henry,2014-09-21 15:14:00,Transfer,Partner,Dog,Intact Male,5 months,Australian Cattle Dog/Catahoula,White/Blue Merle
A362103,Stitch,2014-11-19 15:35:00,Return_to_owner,,Dog,Neutered Male,12 years,Cardigan Welsh Corgi Mix,Brown/White
A706578,,2015-07-05 18:29:00,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Brown/Black
A427782,Midas,2014-04-10 16:29:00,Return_to_owner,,Dog,Neutered Male,9 years,Pit Bull,Tan/White
A709477,,2015-08-11 14:39:00,Transfer,Partner,Dog,Intact Female,1 month,Pit Bull Mix,Brown Brindle/White
A701995,Blue,2015-08-29 18:44:00,Adoption,,Dog,Spayed Female,9 years,Labrador Retriever/German Shepherd,Buff/White
A663983,,2013-10-02 23:43:00,Transfer,Partner,Dog,Intact Female,1 year,Miniature Pinscher Mix,Black/Tan
A715489,,2015-11-09 14:53:00,Transfer,Partner,Dog,Intact Female,1 year,Miniature Pinscher Mix,Brown
A691239,Skippy,2014-11-05 17:00:00,Adoption,,Dog,Neutered Male,10 months,Dachshund Mix,Black
A669960,Fiona,2014-01-07 14:21:00,Euthanasia,Aggressive,Dog,Intact Female,3 years,Pit Bull Mix,Brown/White
A713752,Pepita,2015-12-07 14:55:00,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Calico
A673444,Kelly,2014-03-04 12:56:00,Adoption,Offsite,Cat,Spayed Female,5 months,Tonkinese Mix,Chocolate Point
A718993,Twix,2016-01-15 18:17:00,Adoption,,Dog,Spayed Female,1 year,Miniature Poodle Mix,Gray/Cream
A698756,Ace,2015-12-26 17:11:00,Return_to_owner,,Dog,Intact Male,11 months,Doberman Pinsch Mix,Red/Tan
A682365,,2014-07-01 16:58:00,Adoption,,Dog,Spayed Female,10 months,Soft Coated Wheaten Terrier Mix,Tan/Black
A680940,,2014-06-11 19:04:00,Transfer,SCRP,Cat,Unknown,1 year,Domestic Longhair Mix,Brown Tabby/White
A690862,,2014-10-28 13:32:00,Return_to_owner,,Cat,Neutered Male,2 years,Siamese Mix,Lynx Point/White
A689046,,2014-09-28 18:58:00,Transfer,SCRP,Cat,Unknown,6 months,Domestic Shorthair Mix,Black
A706880,Aldo,2015-07-15 15:25:00,Transfer,Partner,Dog,Neutered Male,5 months,Labrador Retriever Mix,Brown
A531379,Pierre,2013-11-26 19:10:00,Return_to_owner,,Dog,Neutered Male,8 years,Miniature Poodle Mix,White
A717466,Lousiana,2015-12-23 13:39:00,Transfer,Partner,Cat,Spayed Female,6 months,Domestic Medium Hair Mix,Cream Tabby
A664668,Bella,2013-10-12 17:09:00,Adoption,,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,White/Brown
A679467,Asia,2014-06-03 13:01:00,Return_to_owner,,Dog,Spayed Female,2 years,Siberian Husky Mix,Black/Brown
A670795,Snowball,2014-01-19 18:21:00,Transfer,Partner,Cat,Intact Female,4 months,Snowshoe Mix,Chocolate Point/White
A666120,Dallas,2013-11-01 17:08:00,Return_to_owner,,Dog,Neutered Male,10 months,Labrador Retriever/Boston Terrier,White/Black
A680233,,2014-05-31 12:05:00,Transfer,Partner,Cat,Intact Male,2 days,Domestic Shorthair Mix,Brown Tabby
A691517,,2014-11-14 09:16:00,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Orange Tabby/White
A710127,,2015-08-18 12:56:00,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Orange Tabby/White
A715683,Brewster,2015-12-05 17:56:00,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Chocolate/White
A663968,,2014-01-16 12:08:00,Adoption,Foster,Dog,Spayed Female,4 months,American Bulldog Mix,Brown Brindle
A691516,,2014-11-14 09:16:00,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby/White
A683248,Malcolm,2014-08-06 14:39:00,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Blue Tabby
A691700,,2014-11-10 09:00:00,Transfer,SCRP,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby
A608475,Wicked,2014-10-06 16:38:00,Euthanasia,Aggressive,Dog,Neutered Male,3 years,Staffordshire Mix,Fawn
A684066,,2014-07-18 19:27:00,Euthanasia,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A706058,Simon,2015-07-22 17:41:00,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby
A704690,Hardy,2015-06-12 14:01:00,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Tan/Blue
A710681,,2015-08-27 09:00:00,Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Black
A700248,Ruby,2015-05-17 15:13:00,Adoption,,Dog,Spayed Female,3 years,Labrador Retriever Mix,Black/White
A675635,Ariel,2014-04-05 14:30:00,Adoption,,Dog,Spayed Female,2 years,Dachshund Mix,Red/Red Merle
A714665,Max,2016-02-07 18:38:00,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Black/White
A718363,Katie,2016-01-03 18:20:00,Adoption,,Dog,Spayed Female,10 months,Cardigan Welsh Corgi/Chihuahua Shorthair,Sable/White
A698437,Feeny,2015-04-26 19:14:00,Adoption,,Dog,Neutered Male,5 years,Toy Fox Terrier Mix,Tricolor
A703960,,2015-05-30 18:42:00,Transfer,Partner,Cat,Unknown,3 days,Domestic Shorthair Mix,Brown Tabby
A685493,Roddy,2014-08-17 15:09:00,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
A713422,,2015-10-06 17:07:00,Euthanasia,,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Brown Tabby
A713481,Millie,2015-10-12 18:15:00,Adoption,,Dog,Spayed Female,2 years,Welsh Springer Spaniel,White/Chocolate
A703181,Abby,2015-07-25 18:08:00,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White/Brown Tabby
A713138,Tullia,2015-10-07 14:23:00,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Tortie/Brown
A710543,,2015-08-25 09:00:00,Transfer,SCRP,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Orange Tabby/White
A692843,Momma Kitty,2014-12-04 12:21:00,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby/White
A678519,Lily,2014-07-12 20:01:00,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Calico
A701750,Kiara,2015-05-08 18:27:00,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A711887,,2015-09-13 12:36:00,Transfer,Partner,Cat,Unknown,1 day,Domestic Shorthair Mix,Orange Tabby
A715764,Walt,2015-11-14 14:06:00,Transfer,Partner,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Black/White
A674368,Brownie,2014-10-25 13:01:00,Return_to_owner,,Dog,Neutered Male,4 years,Chihuahua Shorthair/Rat Terrier,Tan
A705717,Ramsey,2015-09-09 08:10:00,Adoption,Foster,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby
A669896,Dash,2016-01-06 12:45:00,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever Mix,White/Tan
A615152,Callie,2015-01-07 17:22:00,Adoption,,Dog,Spayed Female,3 years,Labrador Retriever/Boxer,Black/White
A668000,Corky,2013-11-30 17:41:00,Transfer,Partner,Dog,Intact Male,6 months,Entlebucher Mix,Black/Tan
A705027,Landry,2015-06-22 17:04:00,Adoption,,Dog,Spayed Female,2 years,Rat Terrier Mix,Tricolor
A678283,Flo,2014-05-15 12:20:00,Transfer,Partner,Dog,Spayed Female,12 years,Miniature Poodle Mix,Gray
A688808,,2014-09-29 17:51:00,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue
A667633,,2013-12-15 12:31:00,Transfer,Partner,Dog,Intact Female,6 months,Chihuahua Shorthair Mix,Black/Tan
A713008,Leo,2015-10-03 14:42:00,Return_to_owner,,Dog,Intact Male,2 years,West Highland Mix,White
A704016,,2015-05-31 17:11:00,Transfer,Partner,Cat,Unknown,3 days,Domestic Shorthair Mix,Brown Tabby/White
A665498,Marbles,2013-10-26 11:38:00,Adoption,,Dog,Spayed Female,3 years,Collie Smooth Mix,Blue Merle/Tan
A702134,Monet,2015-05-14 16:48:00,Transfer,Partner,Dog,Spayed Female,13 years,Border Collie Mix,Black/White
A718992,Mars,2016-01-15 18:23:00,Adoption,,Dog,Neutered Male,1 year,Miniature Poodle Mix,White/Black
A666337,Chase,2013-11-09 19:06:00,Adoption,,Dog,Neutered Male,4 years,Labrador Retriever/Beagle,Brown
A667397,Gaby,2013-11-22 11:32:00,Transfer,Partner,Dog,Spayed Female,1 year,Chihuahua Shorthair,Tricolor
A681137,,2014-06-13 10:52:00,Transfer,Partner,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Gray/Black
A664711,,2013-10-08 10:49:00,Euthanasia,Suffering,Cat,Intact Female,5 years,Himalayan Mix,Tortie Point
A699110,Scout,2015-05-23 13:56:00,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A666248,Twinkle,2013-11-22 16:04:00,Transfer,Partner,Cat,Intact Female,1 month,Domestic Longhair Mix,Brown Tabby
A688025,Cody,2014-09-22 13:20:00,Return_to_owner,,Dog,Neutered Male,5 years,Toy Poodle Mix,Apricot
A666442,Charlie,2013-11-04 16:35:00,Return_to_owner,,Dog,Spayed Female,4 years,Australian Cattle Dog Mix,Blue Tick
A681627,Rufus,2014-06-19 18:11:00,Return_to_owner,,Cat,Intact Male,2 years,Domestic Shorthair Mix,Orange Tabby
A675223,Peanut,2014-03-26 19:02:00,Return_to_owner,,Dog,Intact Female,4 years,Cavalier Span Mix,Black/Tan
A692024,Cranberry,2014-12-19 07:36:00,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue
A710258,,2015-08-26 15:06:00,Adoption,,Dog,Neutered Male,1 month,German Shepherd/Labrador Retriever,Brown/Black
A712222,,2015-09-19 15:57:00,Euthanasia,Suffering,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Cream Tabby
A698665,Midge,2015-03-16 11:07:00,Return_to_owner,,Dog,Spayed Female,4 years,Chihuahua Longhair Mix,Brown/Tricolor
A705108,Lola,2015-06-29 17:45:00,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Longhair Mix,Brown Tabby
A680919,,2014-06-10 16:44:00,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Cream Tabby
A671565,,2014-02-07 10:14:00,Transfer,SCRP,Cat,Spayed Female,7 months,Domestic Medium Hair Mix,Brown Tabby
A718273,Lily,2016-02-11 15:53:00,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby
A672157,Sneezy,2014-04-15 12:07:00,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby
A679845,,2014-06-03 11:56:00,Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Tan/White
A713355,Marley,2015-10-08 17:01:00,Return_to_owner,,Dog,Spayed Female,13 years,Chow Chow Mix,Fawn
A677282,Castor,2014-05-24 14:46:00,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A694541,Kalamazzoo,2015-01-03 17:17:00,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie
A686152,Sandy,2016-01-09 17:12:00,Adoption,Foster,Dog,Spayed Female,9 years,Pit Bull Mix,Fawn/White
A678286,Annie,2014-07-02 09:17:00,Adoption,Foster,Dog,Spayed Female,1 month,Chihuahua Shorthair/Cairn Terrier,Black
A684766,Shorty,2014-08-26 17:32:00,Adoption,,Dog,Neutered Male,1 year,Dachshund/Australian Cattle Dog,White/Brown
A671819,Karma,2014-01-31 17:30:00,Return_to_owner,,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Orange Tabby
A664138,Ziggy,2013-12-21 15:10:00,Adoption,,Dog,Neutered Male,3 years,Dachshund Mix,Black/Tan
A661068,Beanie,2013-11-25 14:58:00,Transfer,Partner,Dog,Neutered Male,7 years,Rat Terrier Mix,Tricolor
A695129,,2015-01-10 09:00:00,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby/White
A641781,Alezea,2015-08-20 18:27:00,Adoption,,Dog,Spayed Female,3 years,Labrador Retriever/Pointer,Chocolate/White
A713293,Oliver,2016-02-08 13:34:00,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever/Chinese Sharpei,Black/White
A704813,Duke,2015-06-14 12:00:00,Return_to_owner,,Dog,Intact Male,5 years,Pit Bull Mix,Tan/White
A689064,,2014-09-29 13:08:00,Transfer,Partner,Dog,Intact Female,1 month,Flat Coat Retriever/Pit Bull,Buff/White
A708116,Melbourne,2015-07-28 17:22:00,Adoption,,Dog,Neutered Male,5 months,Australian Cattle Dog Mix,Blue Merle/Tan
A683735,,2014-07-25 16:47:00,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black
A680808,Ernest,2014-06-22 17:14:00,Adoption,,Dog,Neutered Male,2 months,Black Mouth Cur Mix,Brown
A634925,Princess,2015-07-10 14:16:00,Return_to_owner,,Dog,Spayed Female,3 years,Pit Bull Mix,Blue/White
A686610,Chapo,2014-08-24 14:46:00,Return_to_owner,,Dog,Neutered Male,2 years,German Shepherd Mix,Black/Tan
A713404,Rascal,2015-10-07 11:54:00,Return_to_owner,,Dog,Intact Male,1 year,Yorkshire Terrier Mix,Black/Tan
A719158,Brody,2016-02-01 13:45:00,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby
A694967,Jewels,2015-01-13 18:41:00,Return_to_owner,,Dog,Spayed Female,4 years,Siberian Husky Mix,Sable/Cream
A691564,Aisha,2014-12-07 14:05:00,Transfer,Partner,Dog,Spayed Female,1 year,Pit Bull Mix,White/Blue
A690356,Cooper,2014-10-25 12:23:00,Adoption,,Dog,Neutered Male,1 year,German Shepherd/Black/Tan Hound,Black/Tan
A443497,Cookie,2014-02-03 12:02:00,Transfer,Partner,Dog,Spayed Female,9 years,Pit Bull Mix,White/Brown
A691724,Twyla,2014-11-15 17:55:00,Transfer,Partner,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Tan
A679030,Ricky,2014-05-23 08:00:00,Transfer,SCRP,Cat,Intact Male,3 years,Bengal Mix,Brown Tabby
A681772,Emme,2014-12-09 13:28:00,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby
A681359,,2014-06-16 14:24:00,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Torbie
A679836,Chloe,2014-05-30 16:39:00,Return_to_owner,,Dog,Intact Female,2 years,Shih Tzu Mix,White/Tan
A695972,Miss Lucky,2015-04-11 18:24:00,Adoption,,Dog,Spayed Female,1 year,Plott Hound Mix,Yellow Brindle/White
A715990,Midnite,2015-11-14 12:15:00,Return_to_owner,,Dog,Intact Male,3 years,Australian Cattle Dog Mix,Tricolor
A678557,Sandy,2014-05-11 17:11:00,Adoption,,Dog,Spayed Female,3 months,Miniature Pinscher/Chihuahua Shorthair,Tricolor
A680162,Ruby Red,2014-06-18 14:49:00,Adoption,,Dog,Spayed Female,1 year,Australian Cattle Dog Mix,Sable
A678840,,2014-05-13 14:53:00,Transfer,Partner,Cat,Intact Female,1 day,Domestic Shorthair Mix,Torbie
A714651,,2015-11-05 13:56:00,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby
A709312,,2015-08-11 18:04:00,Adoption,,Dog,Spayed Female,5 months,Miniature Schnauzer Mix,Black/Brown
A621530,Boomer,2015-03-29 12:00:00,Return_to_owner,,Dog,Neutered Male,4 years,Dachshund Mix,Red/Brown
A689774,Popy Jr,2014-10-10 18:13:00,Adoption,,Dog,Neutered Male,2 months,Beagle Mix,Tan/White
A714078,Hazel,2015-10-18 17:25:00,Transfer,Partner,Dog,Spayed Female,6 months,German Shepherd Mix,Brown Brindle
A714190,,2015-10-20 11:50:00,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby
A664346,,2013-10-02 14:27:00,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black Tabby/White
A676713,Peqqy,2014-04-15 17:57:00,Return_to_owner,,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Brown/White
A705607,Ty,2015-07-04 10:31:00,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Brown Tabby
A706967,Digby,2015-07-11 17:30:00,Adoption,,Dog,Neutered Male,3 years,Australian Cattle Dog Mix,Tricolor
A696412,Huey,2015-02-10 18:58:00,Adoption,,Cat,Neutered Male,8 months,Domestic Shorthair Mix,Brown Tabby
A701094,,2015-04-25 09:00:00,Transfer,SCRP,Cat,Intact Male,4 months,Domestic Shorthair Mix,Brown Tabby
A679969,Slinky,2014-06-12 17:37:00,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A695280,Roxie,2015-01-21 17:25:00,Adoption,,Dog,Spayed Female,2 years,German Shepherd,Black/Brown
A670744,Bianca,2014-01-17 14:38:00,Transfer,Partner,Cat,Spayed Female,13 years,Domestic Longhair Mix,Black
A694730,Whitey,2015-01-09 15:27:00,Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,White
A715583,Copper,2015-11-20 11:26:00,Adoption,,Dog,Spayed Female,6 years,Harrier Mix,Tricolor
A708902,Wisteria,2015-08-26 17:46:00,Transfer,Partner,Dog,Spayed Female,2 years,Catahoula Mix,Blue Merle/Tan
A668452,,2013-12-09 17:01:00,Transfer,Partner,Dog,Neutered Male,7 months,Standard Poodle,Apricot
A667308,Sammie,2013-11-17 18:23:00,Return_to_owner,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Torbie/White
A692209,Remi,2014-12-01 14:13:00,Return_to_owner,,Dog,Spayed Female,3 years,Boxer Mix,Brown/White
A688103,,2014-09-14 19:32:00,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby
A664444,Tudor,2013-10-17 18:54:00,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby/White
A689465,Ruby,2014-10-09 11:16:00,Return_to_owner,,Dog,Spayed Female,3 years,Australian Cattle Dog Mix,Red Merle
A720376,,2016-02-12 18:30:00,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tortie
A701463,Hudson,2015-05-04 12:49:00,Adoption,,Dog,Neutered Male,6 months,Rottweiler Mix,Black/White
A674236,Renee,2014-03-15 10:39:00,Euthanasia,Medical,Dog,Intact Female,10 years,Boxer Mix,Fawn
A656318,Samson,2015-03-01 12:12:00,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black
A717895,,2015-12-21 12:22:00,Transfer,Partner,Dog,Intact Female,2 years,Shih Tzu Mix,White/Brown
A651130,Canelo,2014-08-13 14:36:00,Transfer,Partner,Dog,Neutered Male,2 years,Golden Retriever/Chow Chow,Red/White
A684684,Wendy,2014-08-25 18:39:00,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A716789,Jade,2015-11-25 11:20:00,Return_to_owner,,Dog,Spayed Female,2 years,Dalmatian Mix,Black/White
A699697,Oreo,2015-04-02 16:00:00,Return_to_owner,,Dog,Spayed Female,3 years,Lhasa Apso/West Highland,Tricolor
A688748,,2014-09-23 13:23:00,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby
A667843,Grey,2013-12-04 17:49:00,Return_to_owner,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Blue Tabby
A674423,,2014-03-17 19:05:00,Transfer,Partner,Dog,Neutered Male,2 months,Pointer/American Pit Bull Terrier,White
A666094,,2013-10-31 17:31:00,Adoption,,Dog,Spayed Female,4 years,Beagle/Cocker Spaniel,Black/White
A678666,,2014-07-12 20:23:00,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue
A718253,,2015-12-30 17:17:00,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
A712468,,2015-09-23 17:20:00,Transfer,Partner,Cat,Unknown,3 days,Domestic Shorthair Mix,Brown Tabby/White
A689039,Bruno,2014-10-09 15:49:00,Euthanasia,Aggressive,Dog,Neutered Male,1 year,Pit Bull Mix,Tan/White
A695370,Bella Swan,2015-01-18 19:04:00,Adoption,,Cat,Spayed Female,1 year,Maine Coon Mix,Brown Tabby
A694139,,2014-12-26 16:57:00,Euthanasia,Suffering,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Brown Tabby
A681416,,2014-06-20 19:06:00,Adoption,,Dog,Spayed Female,2 months,Anatol Shepherd Mix,Silver/Black
A663388,Cudi,2016-01-17 17:50:00,Return_to_owner,,Dog,Neutered Male,3 years,Border Collie Mix,Tricolor
A702544,Mocha,2015-05-25 11:58:00,Adoption,,Dog,Spayed Female,1 year,Beagle/Black Mouth Cur,Brown/Black
A698983,,2015-03-21 09:00:00,Transfer,SCRP,Cat,Intact Female,9 months,Domestic Medium Hair Mix,Torbie
